Team1Goal,Team1Los,Team1Yellow,Team1Red,Team1WinRate,Team1PinRate,Team1LosRate,Team1MatchCount,Team2Goal,Team2Los,Team2Yellows,Team2Reds,Team2WinRate,Team2PinRate,Team2LosRate,Team2MatchCount,3,1,0,AllResult
2.239,1.02,1.606,0.064,0.683,0.134,0.183,101,1.596,1.574,1.687,0.084,0.36,0.24,0.4,73,1,0,0,3
1.581,1.529,2.026,0.093,0.369,0.139,0.491,78,0.918,1.976,2.33,0.195,0.179,0.228,0.593,41,1,0,0,3
1.275,1.543,2.09,0.069,0.363,0.172,0.465,89,1.76,1.156,1.798,0.098,0.529,0.19,0.281,99,1,0,0,3
1.471,1.391,1.523,0.08,0.409,0.226,0.365,107,2.111,0.99,1.342,0.079,0.666,0.137,0.197,109,0,1,0,1
1.117,1.405,1.52,0.064,0.286,0.32,0.394,89,1.814,1.156,1.72,0.114,0.526,0.185,0.289,74,1,0,0,3
2.406,1.127,1.679,0.108,0.651,0.2,0.149,122,2.663,0.801,1.799,0.054,0.741,0.149,0.11,124,0,0,1,0
2.203,1.364,1.944,0.11,0.6,0.169,0.231,93,0.764,1.709,1.907,0.059,0.256,0.167,0.577,57,1,0,0,3
1.556,1.477,2.283,0.152,0.46,0.13,0.41,62,1.572,1.215,2.013,0.139,0.473,0.222,0.304,73,0,0,1,0
1.455,1.947,2.106,0.066,0.211,0.246,0.543,54,2.003,0.676,1.657,0.069,0.695,0.201,0.104,73,0,0,1,0
1.448,1.108,1.057,0.006,0.484,0.269,0.247,94,1.404,1.033,1.044,0.051,0.476,0.271,0.253,88,0,1,0,1
1.688,1.124,1.006,0.003,0.543,0.246,0.211,97,1.346,1.219,1.22,0.084,0.428,0.19,0.382,92,0,1,0,1
1.083,1.282,2.139,0.053,0.351,0.314,0.336,85,1.628,0.683,2.029,0.082,0.565,0.306,0.129,120,1,0,0,3
0.859,1.529,2.116,0.108,0.249,0.203,0.548,76,1.623,1.149,2.316,0.059,0.479,0.218,0.303,109,1,0,0,3
1.99,1.116,1.431,0.044,0.586,0.198,0.216,121,2.17,1.052,1.249,0.034,0.539,0.313,0.148,121,0,1,0,1
1.525,1.41,1.584,0.095,0.378,0.246,0.376,98,1.67,1.411,1.36,0.021,0.363,0.313,0.324,97,0,0,1,0
1.131,1.755,2.104,0.132,0.321,0.111,0.568,57,1.622,1.331,2.137,0.138,0.429,0.264,0.307,79,0,0,1,0
1.802,1.761,1.668,0.163,0.397,0.16,0.443,28,1.396,1.252,1.844,0.172,0.353,0.199,0.449,29,0,0,1,0
1.579,1.319,1.753,0.077,0.518,0.194,0.289,89,1.36,2.084,1.936,0.061,0.169,0.316,0.514,63,1,0,0,3
1.317,1.184,1.084,0.092,0.424,0.278,0.298,101,1.117,1.446,1.887,0.139,0.264,0.31,0.426,92,0,0,1,0
1.253,1.637,1.613,0.176,0.379,0.157,0.464,73,1.358,1.553,1.583,0.08,0.408,0.264,0.328,74,1,0,0,3
1.858,1.782,0.922,0.054,0.404,0.25,0.346,83,1.631,1.964,1.411,0.1,0.384,0.197,0.419,64,1,0,0,3
1.232,2.194,1.35,0.108,0.195,0.216,0.588,66,1.804,1.28,1.168,0.083,0.506,0.211,0.283,74,0,0,1,0
1.412,1.245,0.923,0.041,0.32,0.404,0.276,82,1.458,1.548,1.736,0.035,0.321,0.291,0.387,76,0,1,0,1
1.489,2.129,1.359,0.032,0.321,0.212,0.467,77,1.451,1.393,1.616,0.095,0.346,0.311,0.343,84,1,0,0,3
1.205,1.93,1.313,0.075,0.201,0.282,0.518,68,1.266,1.776,1.738,0.16,0.311,0.275,0.414,73,0,1,0,1
1.289,1.758,1.45,0.108,0.276,0.249,0.475,71,1.683,1.255,1.533,0.103,0.431,0.235,0.334,80,1,0,0,3
2.362,1.364,0.775,0.08,0.612,0.174,0.214,66,1.35,1.473,1.04,0.115,0.304,0.314,0.382,84,1,0,0,3
1.353,2.674,1.304,0,0.205,0.021,0.774,19,1.746,1.442,1.324,0.052,0.477,0.168,0.355,68,0,0,1,0
1.546,1.847,1.481,0.176,0.363,0.271,0.366,68,1.768,1.316,1.549,0.068,0.393,0.283,0.324,71,1,0,0,3
1.283,1.78,2.453,0.138,0.32,0.192,0.488,85,1.331,1.112,1.959,0.067,0.441,0.25,0.309,114,0,0,1,0
1.084,1.643,1.828,0.095,0.271,0.267,0.462,80,1.189,1.469,2.395,0.185,0.339,0.176,0.486,71,0,0,1,0
1.509,1.316,1.676,0.056,0.421,0.193,0.386,131,1.336,1.727,2.02,0.103,0.275,0.384,0.342,70,1,0,0,3
1.77,1,2.084,0.133,0.536,0.255,0.209,101,1.466,1.026,1.829,0.122,0.395,0.314,0.291,101,1,0,0,3
1.131,1.164,2.046,0.146,0.253,0.403,0.344,68,0.782,1.044,2.764,0.183,0.354,0.146,0.5,17,0,0,1,0
2.075,0.684,1.965,0.151,0.599,0.28,0.121,104,1.151,1.016,2.262,0.284,0.417,0.237,0.346,83,1,0,0,3
0.892,1.396,2.351,0.167,0.261,0.28,0.46,64,1.01,0.976,2.209,0.109,0.409,0.308,0.282,82,0,1,0,1
1.079,1.215,3.102,0.094,0.408,0.135,0.457,64,1.081,1.568,2.679,0.15,0.255,0.212,0.534,82,1,0,0,3
1.963,1.058,1.259,0.051,0.56,0.18,0.26,84,1.514,1.785,1.22,0.083,0.359,0.215,0.426,76,1,0,0,3
1.446,1.184,1.985,0.16,0.419,0.278,0.302,79,1.451,0.936,1.881,0.157,0.5,0.32,0.18,21,1,0,0,3
1.355,1.322,2.484,0,0.376,0.33,0.294,22,1.197,1.502,1.775,0.131,0.236,0.384,0.379,63,0,0,1,0
1.335,1.509,2.173,0.132,0.366,0.216,0.418,90,1.173,1.533,2.65,0,0.323,0.311,0.366,20,1,0,0,3
1.338,1.669,1.99,0.052,0.28,0.288,0.432,64,1.591,1.692,1.9,0.042,0.417,0.194,0.389,57,0,0,1,0
